SampleID	SampleSetID	CellType	FamilyID	Sex
NA19144	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y074	Male
NA19147	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y075	Female
NA19152	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y072	Female
NA19153	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y072	Male
NA19159	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y056	Female
NA19160	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y056	Male
NA19171	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y047	Male
NA19172	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y047	Female
NA19190	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y111	Female
NA19192	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y112	Male
NA19193	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y112	Female
NA19200	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y045	Male
NA19201	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y045	Female
NA19203	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y048	Male
NA19204	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y048	Female
NA19206	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y051	Female
NA19207	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y051	Male
NA19209	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y050	Female
NA19210	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y050	Male
NA19222	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y058	Female
NA19225	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y057	Female
NA19238	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y117	Female
NA19239	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y117	Male
NA19257	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y092	Female
